0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33
1 |0 |5 |16|10|2 |4 |9 |7 |16|4 |7 |29|9 |18|16|0 |15|9 |2 |22|5 |26|12|29|10|5 |5 |4 |6 |10|5 |4 |26
2 |5 |0 |16|6 |27|4 |5 |7 |5 |7 |7 |31|5 |18|16|0 |15|9 |21|22|5 |26|10|31|5 |5 |5 |10|6 |10|5 |4 |27
3 |16|16|0 |16|16|16|16|16|16|16|16|31|16|18|16|0 |15|9 |16|16|16|16|16|31|16|16|16|16|24|24|24|24|24
4 |10|6 |16|0 |6 |25|9 |6 |25|25|6 |30|12|18|16|0 |15|9 |6 |25|6 |25|25|30|6 |6 |25|25|6 |10|7 |6 |11
5 |2 |27|16|6 |0 |4 |9 |7 |16|7 |27|31|16|18|16|0 |15|9 |2 |27|6 |27|12|31|26|27|26|27|6 |7 |16|12|34
6 |4 |4 |16|25|4 |0 |30|29|10|25|33|30|12|30|16|0 |15|9 |25|12|32|25|25|30|4 |25|25|25|25|25|25|4 |11
7 |9 |5 |16|9 |9 |30|0 |10|5 |9 |34|30|9 |18|16|0 |15|9 |10|11|5 |8 |10|30|10|10|10|10|10|10|10|10|22
8 |7 |7 |16|6 |7 |29|10|0 |7 |4 |6 |29|24|18|16|0 |15|9 |25|11|7 |11|25|29|6 |33|30|29|6 |6 |6 |6 |11
9 |16|5 |16|25|16|10|5 |7 |0 |4 |4 |30|18|18|16|0 |15|14|7 |34|5 |34|7 |30|4 |10|5 |4 |7 |7 |7 |4 |2 
10|4 |7 |16|25|7 |25|9 |4 |4 |0 |4 |35|9 |18|16|0 |15|9 |6 |33|7 |33|4 |35|4 |22|22|6 |8 |35|2 |4 |22
11|7 |7 |16|6 |27|33|34|6 |4 |4 |0 |33|24|18|16|0 |15|9 |26|26|6 |26|6 |33|4 |22|26|27|8 |22|27|6 |27
12|29|31|31|30|31|30|30|29|30|35|33|0 |15|31|16|0 |15|31|29|33|30|34|32|32|35|33|33|32|24|24|24|24|24
13|9 |5 |16|12|16|12|9 |24|18|9 |24|15|0 |18|17|0 |15|14|24|24|24|12|12|15|24|24|24|24|8 |4 |3 |12|11
14|18|18|18|18|18|30|18|18|18|18|18|31|18|0 |16|0 |15|13|18|18|18|18|18|18|18|18|18|18|18|18|18|18|18
